10287,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,351,64.3
61,All Causes,All causes,Alabama,47707,959.7
79,All Causes,All causes,Alaska,3494,761.3
96,All Causes,All causes,Arizona,45823,714.5
114,All Causes,All causes,Arkansas,29322,927.3
132,All Causes,All causes,California,234766,677.9
150,All Causes,All causes,Colorado,31274,715.8
168,All Causes,All causes,Connecticut,28794,671.9
186,All Causes,All causes,Delaware,7622,793.5
204,All Causes,All causes,District of Columbia,5140,897.6
222,All Causes,All causes,Florida,170703,718.1
240,All Causes,All causes,Georgia,69640,864.1
258,All Causes,All causes,Hawaii,9501,613.6
276,All Causes,All causes,Idaho,10962,736.8
294,All Causes,All causes,Illinois,103471,782
312,All Causes,All causes,Indiana,56752,843.8
330,All Causes,All causes,Iowa,28541,752.6
348,All Causes,All causes,Kansas,24975,794.3
366,All Causes,All causes,Kentucky,41329,926.7
384,All Causes,All causes,Louisiana,41220,946
402,All Causes,All causes,Maine,12541,759.4
420,All Causes,All causes,Maryland,43892,769.6
438,All Causes,All causes,Massachusetts,53518,706.1
456,All Causes,All causes,Michigan,88445,812
474,All Causes,All causes,Minnesota,38499,674
492,All Causes,All causes,Mississippi,28984,982.8
510,All Causes,All causes,Missouri,56578,861.3
528,All Causes,All causes,Montana,8913,788.7
546,All Causes,All causes,Nebraska,15461,751.3
564,All Causes,All causes,Nevada,19335,828.7
582,All Causes,All causes,New Hampshire,10268,715.3
600,All Causes,All causes,New Jersey,70026,718.3
618,All Causes,All causes,New Mexico,16005,788.6
636,All Causes,All causes,New York,148698,693.7
654,All Causes,All causes,North Carolina,77283,828.1
672,All Causes,All causes,North Dakota,5871,713.3
690,All Causes,All causes,Ohio,109767,844.3
708,All Causes,All causes,Oklahoma,37014,956.5
726,All Causes,All causes,Oregon,31967,753.2
744,All Causes,All causes,Pennsylvania,127462,799.1
762,All Causes,All causes,Rhode Island,9738,742.9
780,All Causes,All causes,South Carolina,40289,867
798,All Causes,All causes,South Dakota,7083,731.9
816,All Causes,All causes,Tennessee,58820,913.4
834,All Causes,All causes,Texas,164914,803.6
852,All Causes,All causes,United States,2471984,774.9
870,All Causes,All causes,Utah,14040,703.8
888,All Causes,All causes,Vermont,5211,722.5
906,All Causes,All causes,Virginia,59100,776.7
924,All Causes,All causes,Washington,48627,734.3
942,All Causes,All causes,West Virginia,21557,964.3
960,All Causes,All causes,Wisconsin,46815,730.3
978,All Causes,All causes,Wyoming,4227,778.9
996,Alzheimer's disease (G30),Alzheimer's disease,Alabama,1518,32.1
1014,Alzheimer's disease (G30),Alzheimer's disease,Alaska,80,27
1032,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2099,34
1050,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,893,28.4
1068,Alzheimer's disease (G30),Alzheimer's disease,California,10098,29.5
1086,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1353,33.4
1104,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,839,17.8
1122,Alzheimer's disease (G30),Alzheimer's disease,Delaware,204,21.7
1140,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,132,22.5
1158,Alzheimer's disease (G30),Alzheimer's disease,Florida,4743,18.6
1176,Alzheimer's disease (G30),Alzheimer's disease,Georgia,1929,27.5
1194,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,218,13.3
1212,Alzheimer's disease (G30),Alzheimer's disease,Idaho,393,27.2
1230,Alzheimer's disease (G30),Alzheimer's disease,Illinois,3192,23.6
1248,Alzheimer's disease (G30),Alzheimer's disease,Indiana,1971,29.3
1266,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1332,31.5
1284,Alzheimer's disease (G30),Alzheimer's disease,Kansas,961,28.8
1302,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1370,32.3
1320,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,1361,33.4
1338,Alzheimer's disease (G30),Alzheimer's disease,Maine,450,26.3
1356,Alzheimer's disease (G30),Alzheimer's disease,Maryland,1016,18.2
1374,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1832,22.5
1392,Alzheimer's disease (G30),Alzheimer's disease,Michigan,2739,24.8
1410,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,1344,22.3
1428,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,916,32.9
1446,Alzheimer's disease (G30),Alzheimer's disease,Missouri,2010,30
1464,Alzheimer's disease (G30),Alzheimer's disease,Montana,294,25.4
1482,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,610,27.3
1500,Alzheimer's disease (G30),Alzheimer's disease,Nevada,279,14.5
1518,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,393,27.4
1536,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1857,18.2
1554,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,366,19
1572,Alzheimer's disease (G30),Alzheimer's disease,New York,2303,10.3
1590,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,2624,29.8
1608,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,312,33.1
1626,Alzheimer's disease (G30),Alzheimer's disease,Ohio,4285,32
1644,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1061,28
1662,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1302,29.8
1680,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,3863,22.1
1698,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,359,24.4
1716,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,1492,34.7
1734,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,402,37.4
1752,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2423,39.9
1770,Alzheimer's disease (G30),Alzheimer's disease,Texas,5280,28.6
1788,Alzheimer's disease (G30),Alzheimer's disease,United States,82435,25.8
1806,Alzheimer's disease (G30),Alzheimer's disease,Utah,409,22.5
1824,Alzheimer's disease (G30),Alzheimer's disease,Vermont,218,29.8
1842,Alzheimer's disease (G30),Alzheimer's disease,Virginia,1763,24.6
1860,Alzheimer's disease (G30),Alzheimer's disease,Washington,3105,47.1
1878,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,662,29.7
1896,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,1655,24.4
1914,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,125,24.3
1932,Malignant neoplasms (C00-C97),Cancer,Alabama,10182,197.5
1950,Malignant neoplasms (C00-C97),Cancer,Alaska,867,181.1
1968,Malignant neoplasms (C00-C97),Cancer,Arizona,10081,153.2
1986,Malignant neoplasms (C00-C97),Cancer,Arkansas,6526,201.4
2004,Malignant neoplasms (C00-C97),Cancer,California,54686,158.8
2022,Malignant neoplasms (C00-C97),Cancer,Colorado,6719,150.9
2040,Malignant neoplasms (C00-C97),Cancer,Connecticut,6830,164.8
2058,Malignant neoplasms (C00-C97),Cancer,Delaware,1912,193.3
2076,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1143,201.6
2094,Malignant neoplasms (C00-C97),Cancer,Florida,40814,169.5
2112,Malignant neoplasms (C00-C97),Cancer,Georgia,14621,175.1
2130,Malignant neoplasms (C00-C97),Cancer,Hawaii,2194,142.5
2148,Malignant neoplasms (C00-C97),Cancer,Idaho,2511,166.7
2166,Malignant neoplasms (C00-C97),Cancer,Illinois,24300,185
2184,Malignant neoplasms (C00-C97),Cancer,Indiana,13137,194.3
2202,Malignant neoplasms (C00-C97),Cancer,Iowa,6424,177.1
2220,Malignant neoplasms (C00-C97),Cancer,Kansas,5294,173.1
2238,Malignant neoplasms (C00-C97),Cancer,Kentucky,9589,207.8
2256,Malignant neoplasms (C00-C97),Cancer,Louisiana,9197,205.7
2274,Malignant neoplasms (C00-C97),Cancer,Maine,3093,185
2292,Malignant neoplasms (C00-C97),Cancer,Maryland,10360,180.1
2310,Malignant neoplasms (C00-C97),Cancer,Massachusetts,13031,177.2
2328,Malignant neoplasms (C00-C97),Cancer,Michigan,20211,184.4
2346,Malignant neoplasms (C00-C97),Cancer,Minnesota,9446,170.2
2364,Malignant neoplasms (C00-C97),Cancer,Mississippi,6166,202.9
2382,Malignant neoplasms (C00-C97),Cancer,Missouri,12523,189.5
2400,Malignant neoplasms (C00-C97),Cancer,Montana,1862,161.3
2418,Malignant neoplasms (C00-C97),Cancer,Nebraska,3376,169.7
2436,Malignant neoplasms (C00-C97),Cancer,Nevada,4404,179.4
2454,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2576,177.3
2472,Malignant neoplasms (C00-C97),Cancer,New Jersey,16876,175
2490,Malignant neoplasms (C00-C97),Cancer,New Mexico,3355,160.3
2508,Malignant neoplasms (C00-C97),Cancer,New York,35351,166.9
2526,Malignant neoplasms (C00-C97),Cancer,North Carolina,17453,181.3
2544,Malignant neoplasms (C00-C97),Cancer,North Dakota,1354,171.4
2562,Malignant neoplasms (C00-C97),Cancer,Ohio,24998,191.9
2580,Malignant neoplasms (C00-C97),Cancer,Oklahoma,7657,193.1
2598,Malignant neoplasms (C00-C97),Cancer,Oregon,7479,177
2616,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,28964,184.7
2634,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2227,178.1
2652,Malignant neoplasms (C00-C97),Cancer,South Carolina,9199,190
2670,Malignant neoplasms (C00-C97),Cancer,South Dakota,1570,168.4
2688,Malignant neoplasms (C00-C97),Cancer,Tennessee,13162,197.2
2706,Malignant neoplasms (C00-C97),Cancer,Texas,35713,169.9
2724,Malignant neoplasms (C00-C97),Cancer,United States,565469,176.4
2742,Malignant neoplasms (C00-C97),Cancer,Utah,2492,125.4
2760,Malignant neoplasms (C00-C97),Cancer,Vermont,1279,176.3
2778,Malignant neoplasms (C00-C97),Cancer,Virginia,13983,179.1
2796,Malignant neoplasms (C00-C97),Cancer,Washington,11618,175.5
2814,Malignant neoplasms (C00-C97),Cancer,West Virginia,4605,198.5
2832,Malignant neoplasms (C00-C97),Cancer,Wisconsin,11185,177.8
2850,Malignant neoplasms (C00-C97),Cancer,Wyoming,874,156.7
2868,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,2733,54.2
2886,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,181,44.6
2904,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,2939,45.5
2922,Chronic lower respiratory diseases (J40-J47),CLRD,Arkansas,1887,58.7
2940,Chronic lower respiratory diseases (J40-J47),CLRD,California,13426,39.9
2958,Chronic lower respiratory diseases (J40-J47),CLRD,Colorado,2188,52.5
2976,Chronic lower respiratory diseases (J40-J47),CLRD,Connecticut,1505,35.3
2994,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,472,48.9
3012,Chronic lower respiratory diseases (J40-J47),CLRD,District of Columbia,139,25.2
3030,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,10198,41.1
3048,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,3546,45.5
3066,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,293,19.2
3084,Chronic lower respiratory diseases (J40-J47),CLRD,Idaho,703,48.2
3102,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5602,43.2
3120,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3878,58.1
3138,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1848,49.4
3156,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1626,52.8
3174,Chronic lower respiratory diseases (J40-J47),CLRD,Kentucky,2926,65.2
3192,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,1896,44
3210,Chronic lower respiratory diseases (J40-J47),CLRD,Maine,794,47.8
3228,Chronic lower respiratory diseases (J40-J47),CLRD,Maryland,1982,35.8
3246,Chronic lower respiratory diseases (J40-J47),CLRD,Massachusetts,2587,34.5
3264,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,5185,47.8
3282,Chronic lower respiratory diseases (J40-J47),CLRD,Minnesota,2096,37.8
3300,Chronic lower respiratory diseases (J40-J47),CLRD,Mississippi,1520,51.6
3318,Chronic lower respiratory diseases (J40-J47),CLRD,Missouri,3765,57.4
3336,Chronic lower respiratory diseases (J40-J47),CLRD,Montana,691,61
3354,Chronic lower respiratory diseases (J40-J47),CLRD,Nebraska,1047,51.6
3372,Chronic lower respiratory diseases (J40-J47),CLRD,Nevada,1257,56.4
3390,Chronic lower respiratory diseases (J40-J47),CLRD,New Hampshire,688,48.8
3408,Chronic lower respiratory diseases (J40-J47),CLRD,New Jersey,3280,33.9
3426,Chronic lower respiratory diseases (J40-J47),CLRD,New Mexico,1001,49.7
3444,Chronic lower respiratory diseases (J40-J47),CLRD,New York,6919,32.6
3462,Chronic lower respiratory diseases (J40-J47),CLRD,North Carolina,4572,49.3
3480,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,355,43.4
3498,Chronic lower respiratory diseases (J40-J47),CLRD,Ohio,6928,53.3
3516,Chronic lower respiratory diseases (J40-J47),CLRD,Oklahoma,2694,68.9
3534,Chronic lower respiratory diseases (J40-J47),CLRD,Oregon,1951,46.6
3552,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6767,42
3570,Chronic lower respiratory diseases (J40-J47),CLRD,Rhode Island,478,37.3
3588,Chronic lower respiratory diseases (J40-J47),CLRD,South Carolina,2266,48.5
3606,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,491,50.7
3624,Chronic lower respiratory diseases (J40-J47),CLRD,Tennessee,3545,54.7
3642,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,8874,45.1
3660,Chronic lower respiratory diseases (J40-J47),CLRD,United States,141090,44.7
3678,Chronic lower respiratory diseases (J40-J47),CLRD,Utah,638,33.3
3696,Chronic lower respiratory diseases (J40-J47),CLRD,Vermont,341,47.6
3714,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,3023,40.6
3732,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,2930,45.6
3750,Chronic lower respiratory diseases (J40-J47),CLRD,West Virginia,1590,68.9
3768,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2538,39.9
3786,Chronic lower respiratory diseases (J40-J47),CLRD,Wyoming,311,58.5
3804,Diabetes mellitus (E10-E14),Diabetes,Alabama,1386,27.2
3822,Diabetes mellitus (E10-E14),Diabetes,Alaska,93,22.3
3840,Diabetes mellitus (E10-E14),Diabetes,Arizona,1173,18
3858,Diabetes mellitus (E10-E14),Diabetes,Arkansas,901,28.1
3876,Diabetes mellitus (E10-E14),Diabetes,California,7375,21.5
3894,Diabetes mellitus (E10-E14),Diabetes,Colorado,767,17.6
3912,Diabetes mellitus (E10-E14),Diabetes,Connecticut,624,14.7
3930,Diabetes mellitus (E10-E14),Diabetes,Delaware,217,22.5
3948,Diabetes mellitus (E10-E14),Diabetes,District of Columbia,156,27.5
3966,Diabetes mellitus (E10-E14),Diabetes,Florida,5161,21.4
3984,Diabetes mellitus (E10-E14),Diabetes,Georgia,1496,18
4002,Diabetes mellitus (E10-E14),Diabetes,Hawaii,286,18.6
4020,Diabetes mellitus (E10-E14),Diabetes,Idaho,356,23.9
4038,Diabetes mellitus (E10-E14),Diabetes,Illinois,2846,21.6
4056,Diabetes mellitus (E10-E14),Diabetes,Indiana,1683,24.9
4074,Diabetes mellitus (E10-E14),Diabetes,Iowa,764,20.3
4092,Diabetes mellitus (E10-E14),Diabetes,Kansas,706,22.7
4110,Diabetes mellitus (E10-E14),Diabetes,Kentucky,1214,26.7
4128,Diabetes mellitus (E10-E14),Diabetes,Louisiana,1332,30.3
4146,Diabetes mellitus (E10-E14),Diabetes,Maine,344,20.8
4164,Diabetes mellitus (E10-E14),Diabetes,Maryland,1239,21.6
4182,Diabetes mellitus (E10-E14),Diabetes,Massachusetts,1079,14.5
4200,Diabetes mellitus (E10-E14),Diabetes,Michigan,2752,25.2
4218,Diabetes mellitus (E10-E14),Diabetes,Minnesota,1087,19.1
4236,Diabetes mellitus (E10-E14),Diabetes,Mississippi,758,25.3
4254,Diabetes mellitus (E10-E14),Diabetes,Missouri,1348,20.4
4272,Diabetes mellitus (E10-E14),Diabetes,Montana,254,22.3
4290,Diabetes mellitus (E10-E14),Diabetes,Nebraska,470,23.2
4308,Diabetes mellitus (E10-E14),Diabetes,Nevada,373,15.6
4326,Diabetes mellitus (E10-E14),Diabetes,New Hampshire,297,20.6
4344,Diabetes mellitus (E10-E14),Diabetes,New Jersey,2242,23.1
4362,Diabetes mellitus (E10-E14),Diabetes,New Mexico,582,28.3
4380,Diabetes mellitus (E10-E14),Diabetes,New York,3605,16.9
