10286,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,299,53.7
60,All Causes,All causes,Alabama,47470,940.2
78,All Causes,All causes,Alaska,3618,763.8
95,All Causes,All causes,Arizona,45816,693.8
113,All Causes,All causes,Arkansas,28673,896.4
131,All Causes,All causes,California,232736,655.5
149,All Causes,All causes,Colorado,31173,689.7
167,All Causes,All causes,Connecticut,28585,659.3
185,All Causes,All causes,Delaware,7534,768
203,All Causes,All causes,District of Columbia,4834,833.3
221,All Causes,All causes,Florida,169924,700.1
239,All Causes,All causes,Georgia,69712,842.3
257,All Causes,All causes,Hawaii,9914,621.9
275,All Causes,All causes,Idaho,11098,725.1
293,All Causes,All causes,Illinois,100056,746.9
311,All Causes,All causes,Indiana,55973,820.6
329,All Causes,All causes,Iowa,27544,723
347,All Causes,All causes,Kansas,24024,757.8
365,All Causes,All causes,Kentucky,41380,912.5
383,All Causes,All causes,Louisiana,40282,907.8
401,All Causes,All causes,Maine,12594,752.6
419,All Causes,All causes,Maryland,43843,750.2
437,All Causes,All causes,Massachusetts,52308,681.4
455,All Causes,All causes,Michigan,86455,783.1
473,All Causes,All causes,Minnesota,37851,652.1
491,All Causes,All causes,Mississippi,28275,950.5
509,All Causes,All causes,Missouri,54263,815.3
527,All Causes,All causes,Montana,8730,758
545,All Causes,All causes,Nebraska,14810,710.9
563,All Causes,All causes,Nevada,19224,794.6
581,All Causes,All causes,New Hampshire,10100,691.6
599,All Causes,All causes,New Jersey,68277,689.3
617,All Causes,All causes,New Mexico,15643,749.8
635,All Causes,All causes,New York,146475,674.6
653,All Causes,All causes,North Carolina,77117,804.3
671,All Causes,All causes,North Dakota,5914,712.7
689,All Causes,All causes,Ohio,107156,814.5
707,All Causes,All causes,Oklahoma,35601,903.8
725,All Causes,All causes,Oregon,31636,728.4
743,All Causes,All causes,Pennsylvania,124780,775.3
761,All Causes,All causes,Rhode Island,9395,711
779,All Causes,All causes,South Carolina,40449,846.9
797,All Causes,All causes,South Dakota,6923,706.2
815,All Causes,All causes,Tennessee,58288,885.6
833,All Causes,All causes,Texas,163249,772.1
851,All Causes,All causes,United States,2437163,749.6
869,All Causes,All causes,Utah,14138,686.5
887,All Causes,All causes,Vermont,5034,683.2
905,All Causes,All causes,Virginia,58653,750.8
923,All Causes,All causes,Washington,48270,708.4
941,All Causes,All causes,West Virginia,21386,947.7
959,All Causes,All causes,Wisconsin,45697,703
977,All Causes,All causes,Wyoming,4283,769.6
995,Alzheimer's disease (G30),Alzheimer's disease,Alabama,1521,31.6
1013,Alzheimer's disease (G30),Alzheimer's disease,Alaska,67,21.5
1031,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2097,32.7
1049,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,885,27.8
1067,Alzheimer's disease (G30),Alzheimer's disease,California,9905,28.1
1085,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1319,31.4
1103,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,778,16.3
1121,Alzheimer's disease (G30),Alzheimer's disease,Delaware,163,16.9
1139,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,94,15.7
1157,Alzheimer's disease (G30),Alzheimer's disease,Florida,4617,17.6
1175,Alzheimer's disease (G30),Alzheimer's disease,Georgia,1865,25.9
1193,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,253,14.8
1211,Alzheimer's disease (G30),Alzheimer's disease,Idaho,369,24.7
1229,Alzheimer's disease (G30),Alzheimer's disease,Illinois,2891,21
1247,Alzheimer's disease (G30),Alzheimer's disease,Indiana,1884,27.4
1265,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1265,29.9
1283,Alzheimer's disease (G30),Alzheimer's disease,Kansas,802,23.9
1301,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1345,31.3
1319,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,1336,32.3
1337,Alzheimer's disease (G30),Alzheimer's disease,Maine,466,26.9
1355,Alzheimer's disease (G30),Alzheimer's disease,Maryland,937,16.3
1373,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1700,20.6
1391,Alzheimer's disease (G30),Alzheimer's disease,Michigan,2578,22.9
1409,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,1358,22.2
1427,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,900,32.1
1445,Alzheimer's disease (G30),Alzheimer's disease,Missouri,1728,25.5
1463,Alzheimer's disease (G30),Alzheimer's disease,Montana,256,21.6
1481,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,573,25.6
1499,Alzheimer's disease (G30),Alzheimer's disease,Nevada,312,15.5
1517,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,367,25
1535,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1872,17.9
1553,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,373,18.6
1571,Alzheimer's disease (G30),Alzheimer's disease,New York,2396,10.5
1589,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,2646,29.2
1607,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,366,39
1625,Alzheimer's disease (G30),Alzheimer's disease,Ohio,3879,28.5
1643,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,993,25.8
1661,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1212,27.3
1679,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,3547,20
1697,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,321,21.7
1715,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,1478,33.4
1733,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,403,36.8
1751,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2203,35.4
1769,Alzheimer's disease (G30),Alzheimer's disease,Texas,5064,26.6
1787,Alzheimer's disease (G30),Alzheimer's disease,United States,79003,24.2
1805,Alzheimer's disease (G30),Alzheimer's disease,Utah,371,19.6
1823,Alzheimer's disease (G30),Alzheimer's disease,Vermont,190,25.5
1841,Alzheimer's disease (G30),Alzheimer's disease,Virginia,1738,23.5
1859,Alzheimer's disease (G30),Alzheimer's disease,Washington,3010,44.6
1877,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,563,24.9
1895,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,1611,23.3
1913,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,136,25.8
1931,Malignant neoplasms (C00-C97),Cancer,Alabama,10289,196.3
1949,Malignant neoplasms (C00-C97),Cancer,Alaska,895,183
1967,Malignant neoplasms (C00-C97),Cancer,Arizona,10271,152
1985,Malignant neoplasms (C00-C97),Cancer,Arkansas,6513,198.3
2003,Malignant neoplasms (C00-C97),Cancer,California,55991,158.8
2021,Malignant neoplasms (C00-C97),Cancer,Colorado,6950,151.4
2039,Malignant neoplasms (C00-C97),Cancer,Connecticut,6819,162.8
2057,Malignant neoplasms (C00-C97),Cancer,Delaware,1813,178.7
2075,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1131,197.4
2093,Malignant neoplasms (C00-C97),Cancer,Florida,40932,166.6
2111,Malignant neoplasms (C00-C97),Cancer,Georgia,15143,175.6
2129,Malignant neoplasms (C00-C97),Cancer,Hawaii,2244,141.3
2147,Malignant neoplasms (C00-C97),Cancer,Idaho,2458,158.9
2165,Malignant neoplasms (C00-C97),Cancer,Illinois,24185,181.8
2183,Malignant neoplasms (C00-C97),Cancer,Indiana,13093,190.4
2201,Malignant neoplasms (C00-C97),Cancer,Iowa,6249,170.4
2219,Malignant neoplasms (C00-C97),Cancer,Kansas,5319,171.9
2237,Malignant neoplasms (C00-C97),Cancer,Kentucky,9634,204.9
2255,Malignant neoplasms (C00-C97),Cancer,Louisiana,9098,198.6
2273,Malignant neoplasms (C00-C97),Cancer,Maine,3133,185.2
2291,Malignant neoplasms (C00-C97),Cancer,Maryland,10412,176.7
2309,Malignant neoplasms (C00-C97),Cancer,Massachusetts,13112,175.5
2327,Malignant neoplasms (C00-C97),Cancer,Michigan,20257,182.2
2345,Malignant neoplasms (C00-C97),Cancer,Minnesota,9580,168.7
2363,Malignant neoplasms (C00-C97),Cancer,Mississippi,6131,199.8
2381,Malignant neoplasms (C00-C97),Cancer,Missouri,12472,185.7
2399,Malignant neoplasms (C00-C97),Cancer,Montana,1914,163
2417,Malignant neoplasms (C00-C97),Cancer,Nebraska,3336,165.1
2435,Malignant neoplasms (C00-C97),Cancer,Nevada,4461,175.3
2453,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2562,173.3
2471,Malignant neoplasms (C00-C97),Cancer,New Jersey,16541,169
2489,Malignant neoplasms (C00-C97),Cancer,New Mexico,3202,149
2507,Malignant neoplasms (C00-C97),Cancer,New York,35216,164.2
2525,Malignant neoplasms (C00-C97),Cancer,North Carolina,17513,176.9
2543,Malignant neoplasms (C00-C97),Cancer,North Dakota,1243,156.3
2561,Malignant neoplasms (C00-C97),Cancer,Ohio,25149,190.5
2579,Malignant neoplasms (C00-C97),Cancer,Oklahoma,7639,189.2
2597,Malignant neoplasms (C00-C97),Cancer,Oregon,7487,172.7
2615,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,28881,182.5
2633,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2220,174.9
2651,Malignant neoplasms (C00-C97),Cancer,South Carolina,9123,182.8
2669,Malignant neoplasms (C00-C97),Cancer,South Dakota,1503,158.7
2687,Malignant neoplasms (C00-C97),Cancer,Tennessee,13482,197.5
2705,Malignant neoplasms (C00-C97),Cancer,Texas,35591,164.4
2723,Malignant neoplasms (C00-C97),Cancer,United States,567628,173.5
2741,Malignant neoplasms (C00-C97),Cancer,Utah,2555,124.7
2759,Malignant neoplasms (C00-C97),Cancer,Vermont,1254,169.2
2777,Malignant neoplasms (C00-C97),Cancer,Virginia,14122,176.2
2795,Malignant neoplasms (C00-C97),Cancer,Washington,11922,174.9
2813,Malignant neoplasms (C00-C97),Cancer,West Virginia,4786,204.2
2831,Malignant neoplasms (C00-C97),Cancer,Wisconsin,10866,169.5
2849,Malignant neoplasms (C00-C97),Cancer,Wyoming,936,164.7
2867,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,2770,54.2
2885,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,196,49.7
2903,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,2839,42.7
2921,Chronic lower respiratory diseases (J40-J47),CLRD,Arkansas,1831,56.2
2939,Chronic lower respiratory diseases (J40-J47),CLRD,California,12936,37.5
2957,Chronic lower respiratory diseases (J40-J47),CLRD,Colorado,2073,47.8
2975,Chronic lower respiratory diseases (J40-J47),CLRD,Connecticut,1448,33.5
2993,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,428,43.4
3011,Chronic lower respiratory diseases (J40-J47),CLRD,District of Columbia,136,24.5
3029,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,10182,40.3
3047,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,3736,46.7
3065,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,303,19.1
3083,Chronic lower respiratory diseases (J40-J47),CLRD,Idaho,725,48.2
3101,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5299,40.3
3119,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3745,55.5
3137,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1832,48.7
3155,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1580,50.6
3173,Chronic lower respiratory diseases (J40-J47),CLRD,Kentucky,2854,62.2
3191,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,1878,42.7
3209,Chronic lower respiratory diseases (J40-J47),CLRD,Maine,821,48.6
3227,Chronic lower respiratory diseases (J40-J47),CLRD,Maryland,2064,36.3
3245,Chronic lower respiratory diseases (J40-J47),CLRD,Massachusetts,2559,33.8
3263,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,4961,45
3281,Chronic lower respiratory diseases (J40-J47),CLRD,Minnesota,1961,34.8
3299,Chronic lower respiratory diseases (J40-J47),CLRD,Mississippi,1556,52.7
3317,Chronic lower respiratory diseases (J40-J47),CLRD,Missouri,3456,51.9
3335,Chronic lower respiratory diseases (J40-J47),CLRD,Montana,598,51.6
3353,Chronic lower respiratory diseases (J40-J47),CLRD,Nebraska,987,48.3
3371,Chronic lower respiratory diseases (J40-J47),CLRD,Nevada,1244,53.3
3389,Chronic lower respiratory diseases (J40-J47),CLRD,New Hampshire,652,45.6
3407,Chronic lower respiratory diseases (J40-J47),CLRD,New Jersey,3125,31.8
3425,Chronic lower respiratory diseases (J40-J47),CLRD,New Mexico,984,47.1
3443,Chronic lower respiratory diseases (J40-J47),CLRD,New York,6740,31.4
3461,Chronic lower respiratory diseases (J40-J47),CLRD,North Carolina,4329,45.4
3479,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,341,41.6
3497,Chronic lower respiratory diseases (J40-J47),CLRD,Ohio,6642,50.4
3515,Chronic lower respiratory diseases (J40-J47),CLRD,Oklahoma,2595,65.1
3533,Chronic lower respiratory diseases (J40-J47),CLRD,Oregon,1943,45.3
3551,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6432,39.6
3569,Chronic lower respiratory diseases (J40-J47),CLRD,Rhode Island,511,39.8
3587,Chronic lower respiratory diseases (J40-J47),CLRD,South Carolina,2317,48.2
3605,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,440,44.9
3623,Chronic lower respiratory diseases (J40-J47),CLRD,Tennessee,3503,52.9
3641,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,8649,42.6
3659,Chronic lower respiratory diseases (J40-J47),CLRD,United States,137353,42.7
3677,Chronic lower respiratory diseases (J40-J47),CLRD,Utah,581,29.5
3695,Chronic lower respiratory diseases (J40-J47),CLRD,Vermont,364,49.3
3713,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,3013,39.6
3731,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,2933,44.3
3749,Chronic lower respiratory diseases (J40-J47),CLRD,West Virginia,1490,63.9
3767,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2461,38.5
3785,Chronic lower respiratory diseases (J40-J47),CLRD,Wyoming,310,57.2
3803,Diabetes mellitus (E10-E14),Diabetes,Alabama,1259,24.4
3821,Diabetes mellitus (E10-E14),Diabetes,Alaska,84,18.1
3839,Diabetes mellitus (E10-E14),Diabetes,Arizona,1083,16.2
