10293,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,289,58.1
67,All Causes,All causes,Alabama,46069,1013.4
84,All Causes,All causes,Alaska,3030,802.4
102,All Causes,All causes,Arizona,42816,811.2
120,All Causes,All causes,Arkansas,28513,975.2
138,All Causes,All causes,California,234565,770
156,All Causes,All causes,Colorado,29210,804.4
174,All Causes,All causes,Connecticut,30122,766.1
192,All Causes,All causes,Delaware,6861,849.3
210,All Causes,All causes,District of Columbia,5851,1034.1
228,All Causes,All causes,Florida,167814,796.2
246,All Causes,All causes,Georgia,65449,961.6
264,All Causes,All causes,Hawaii,8801,673.4
282,All Causes,All causes,Idaho,9923,798.8
300,All Causes,All causes,Illinois,106667,866.7
318,All Causes,All causes,Indiana,55396,906.1
336,All Causes,All causes,Iowa,27978,779.9
354,All Causes,All causes,Kansas,25021,851.3
372,All Causes,All causes,Kentucky,40697,1009.7
390,All Causes,All causes,Louisiana,41984,1008.5
408,All Causes,All causes,Maine,12694,853.7
426,All Causes,All causes,Maryland,43970,872.3
444,All Causes,All causes,Massachusetts,56928,806
462,All Causes,All causes,Michigan,87795,885.7
480,All Causes,All causes,Minnesota,38510,751.3
498,All Causes,All causes,Mississippi,28853,1051.6
516,All Causes,All causes,Missouri,55940,922.3
534,All Causes,All causes,Montana,8506,854.4
552,All Causes,All causes,Nebraska,15738,820.2
570,All Causes,All causes,Nevada,16927,922.3
588,All Causes,All causes,New Hampshire,9853,796
606,All Causes,All causes,New Jersey,74009,821.7
624,All Causes,All causes,New Mexico,14344,823.8
642,All Causes,All causes,New York,158118,791.4
660,All Causes,All causes,North Carolina,72027,912.6
678,All Causes,All causes,North Dakota,5892,755.5
696,All Causes,All causes,Ohio,109766,916.7
714,All Causes,All causes,Oklahoma,35502,986.4
732,All Causes,All causes,Oregon,31119,839.6
750,All Causes,All causes,Pennsylvania,130223,874.1
768,All Causes,All causes,Rhode Island,10246,823
786,All Causes,All causes,South Carolina,37736,964.3
804,All Causes,All causes,South Dakota,6898,778.6
822,All Causes,All causes,Tennessee,56606,995.3
840,All Causes,All causes,Texas,155524,888.4
858,All Causes,All causes,United States,2443387,855.9
876,All Causes,All causes,Utah,13116,794
894,All Causes,All causes,Vermont,5075,786.8
912,All Causes,All causes,Virginia,57196,865.9
930,All Causes,All causes,Washington,45338,795
948,All Causes,All causes,West Virginia,21016,999
966,All Causes,All causes,Wisconsin,46981,806.1
984,All Causes,All causes,Wyoming,4174,878.2
1002,Alzheimer's disease (G30),Alzheimer's disease,Alabama,1189,27
1020,Alzheimer's disease (G30),Alzheimer's disease,Alaska,61,25.8
1038,Alzheimer's disease (G30),Alzheimer's disease,Arizona,1433,28.7
1056,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,551,18.6
1074,Alzheimer's disease (G30),Alzheimer's disease,California,5421,18.6
1092,Alzheimer's disease (G30),Alzheimer's disease,Colorado,954,29
1110,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,570,13.6
1128,Alzheimer's disease (G30),Alzheimer's disease,Delaware,128,16.7
1146,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,107,19
1164,Alzheimer's disease (G30),Alzheimer's disease,Florida,4052,18.1
1182,Alzheimer's disease (G30),Alzheimer's disease,Georgia,1525,25.5
1200,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,141,10.9
1218,Alzheimer's disease (G30),Alzheimer's disease,Idaho,318,26.1
