10283,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,308,52.9
57,All Causes,All causes,Alabama,49301,926.7
75,All Causes,All causes,Alaska,3912,731.4
92,All Causes,All causes,Arizona,49549,682.9
110,All Causes,All causes,Arkansas,30117,897.5
128,All Causes,All causes,California,242554,630.4
146,All Causes,All causes,Colorado,33133,665.6
164,All Causes,All causes,Connecticut,29316,648.2
182,All Causes,All causes,Delaware,7875,745.4
200,All Causes,All causes,District of Columbia,4650,757.2
218,All Causes,All causes,Florida,177291,669.9
236,All Causes,All causes,Georgia,72847,808.6
254,All Causes,All causes,Hawaii,10274,586.5
272,All Causes,All causes,Idaho,11998,726.6
290,All Causes,All causes,Illinois,102433,728.7
308,All Causes,All causes,Indiana,59332,827.5
326,All Causes,All causes,Iowa,28389,718.3
344,All Causes,All causes,Kansas,25145,761
362,All Causes,All causes,Kentucky,43664,916.3
380,All Causes,All causes,Louisiana,42320,898.6
398,All Causes,All causes,Maine,12870,730.4
416,All Causes,All causes,Maryland,44477,709.1
434,All Causes,All causes,Massachusetts,53177,657.9
452,All Causes,All causes,Michigan,89901,774.2
470,All Causes,All causes,Minnesota,40016,649.5
488,All Causes,All causes,Mississippi,29544,942.9
506,All Causes,All causes,Missouri,56094,803
524,All Causes,All causes,Montana,8976,732.4
542,All Causes,All causes,Nebraska,15659,719
560,All Causes,All causes,Nevada,20785,774.6
578,All Causes,All causes,New Hampshire,10730,687.5
596,All Causes,All causes,New Jersey,70534,677.6
614,All Causes,All causes,New Mexico,16710,744.6
632,All Causes,All causes,New York,148991,652.1
650,All Causes,All causes,North Carolina,81925,786.4
668,All Causes,All causes,North Dakota,6038,701.2
686,All Causes,All causes,Ohio,112498,817.9
704,All Causes,All causes,Oklahoma,36870,891.5
722,All Causes,All causes,Oregon,32759,706.6
740,All Causes,All causes,Pennsylvania,126981,759.2
758,All Causes,All causes,Rhode Island,9354,686.5
776,All Causes,All causes,South Carolina,43198,835.2
794,All Causes,All causes,South Dakota,7333,712.3
812,All Causes,All causes,Tennessee,61956,880.6
830,All Causes,All causes,Texas,174187,753.3
848,All Causes,All causes,United States,2543279,732.8
866,All Causes,All causes,Utah,15676,700
884,All Causes,All causes,Vermont,5491,700.1
902,All Causes,All causes,Virginia,61564,730.2
920,All Causes,All causes,Washington,50105,681.5
938,All Causes,All causes,West Virginia,21915,939.3
956,All Causes,All causes,Wisconsin,48384,707.8
974,All Causes,All causes,Wyoming,4481,748.3
992,Alzheimer's disease (G30),Alzheimer's disease,Alabama,1390,27.2
1010,Alzheimer's disease (G30),Alzheimer's disease,Alaska,102,27.2
1028,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2160,30
1046,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,931,27.9
1064,Alzheimer's disease (G30),Alzheimer's disease,California,11649,30
1082,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1322,28.4
1100,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,842,16.8
1118,Alzheimer's disease (G30),Alzheimer's disease,Delaware,213,20.2
1136,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,129,20.5
1154,Alzheimer's disease (G30),Alzheimer's disease,Florida,4422,15.2
1172,Alzheimer's disease (G30),Alzheimer's disease,Georgia,2074,26.2
