10294,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,272,55.5
68,All Causes,All causes,Alabama,45316,1002.1
85,All Causes,All causes,Alaska,2974,831.3
103,All Causes,All causes,Arizona,41058,795.9
121,All Causes,All causes,Arkansas,27759,955.4
139,All Causes,All causes,California,234044,783.2
157,All Causes,All causes,Colorado,28294,796.1
175,All Causes,All causes,Connecticut,29827,772.1
193,All Causes,All causes,Delaware,7112,903.1
211,All Causes,All causes,District of Columbia,5951,1049.9
229,All Causes,All causes,Florida,167269,806.1
247,All Causes,All causes,Georgia,64485,966.4
265,All Causes,All causes,Hawaii,8394,660.4
283,All Causes,All causes,Idaho,9753,803.5
301,All Causes,All causes,Illinois,105430,863.5
319,All Causes,All causes,Indiana,55198,912.7
337,All Causes,All causes,Iowa,27791,780.1
355,All Causes,All causes,Kansas,24647,844.4
373,All Causes,All causes,Kentucky,39861,997.1
391,All Causes,All causes,Louisiana,41757,1013.1
409,All Causes,All causes,Maine,12421,848.7
427,All Causes,All causes,Maryland,43839,888
445,All Causes,All causes,Massachusetts,56754,811.4
463,All Causes,All causes,Michigan,86424,884
481,All Causes,All causes,Minnesota,37735,748.2
499,All Causes,All causes,Mississippi,28259,1034.3
517,All Causes,All causes,Missouri,54982,913.4
535,All Causes,All causes,Montana,8265,844.1
553,All Causes,All causes,Nebraska,15174,796.6
571,All Causes,All causes,Nevada,16285,923.5
589,All Causes,All causes,New Hampshire,9815,809.3
607,All Causes,All causes,New Jersey,74710,840.3
625,All Causes,All causes,New Mexico,14129,829.5
643,All Causes,All causes,New York,159240,806.6
661,All Causes,All causes,North Carolina,70934,917.1
679,All Causes,All causes,North Dakota,6048,780.2
697,All Causes,All causes,Ohio,108027,912.4
715,All Causes,All causes,Oklahoma,34682,968.5
733,All Causes,All causes,Oregon,30158,830.5
751,All Causes,All causes,Pennsylvania,129729,878.5
769,All Causes,All causes,Rhode Island,10021,816.9
787,All Causes,All causes,South Carolina,36612,949.6
805,All Causes,All causes,South Dakota,6923,790
823,All Causes,All causes,Tennessee,55151,979.5
841,All Causes,All causes,Texas,152779,888.9
859,All Causes,All causes,United States,2416425,858.8
877,All Causes,All causes,Utah,12662,785.2
895,All Causes,All causes,Vermont,5201,819.6
913,All Causes,All causes,Virginia,56280,869.9
931,All Causes,All causes,Washington,44642,799.4
949,All Causes,All causes,West Virginia,20967,1000.9
967,All Causes,All causes,Wisconsin,46628,812.5
985,All Causes,All causes,Wyoming,4029,858.8
1003,Alzheimer's disease (G30),Alzheimer's disease,Alabama,1103,25.1
1021,Alzheimer's disease (G30),Alzheimer's disease,Alaska,44,18.9
1039,Alzheimer's disease (G30),Alzheimer's disease,Arizona,1108,22.7
1057,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,452,15.3
1075,Alzheimer's disease (G30),Alzheimer's disease,California,4935,17.2
1093,Alzheimer's disease (G30),Alzheimer's disease,Colorado,852,26.4
1111,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,573,14
1129,Alzheimer's disease (G30),Alzheimer's disease,Delaware,135,18
