10280,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,400,65.8
54,All Causes,All causes,Alabama,51909,924.5
72,All Causes,All causes,Alaska,4316,747.4
89,All Causes,All causes,Arizona,54299,671.8
107,All Causes,All causes,Arkansas,31617,901.8
125,All Causes,All causes,California,259206,621.6
143,All Causes,All causes,Colorado,36349,665
161,All Causes,All causes,Connecticut,30535,656.1
179,All Causes,All causes,Delaware,8582,741.5
197,All Causes,All causes,District of Columbia,4871,748.6
215,All Causes,All causes,Florida,191737,662.9
233,All Causes,All causes,Georgia,79942,808.1
251,All Causes,All causes,Hawaii,11053,588.2
269,All Causes,All causes,Idaho,13026,727.8
287,All Causes,All causes,Illinois,106872,728.3
305,All Causes,All causes,Indiana,62713,833.9
323,All Causes,All causes,Iowa,29600,724.6
341,All Causes,All causes,Kansas,26664,774.1
359,All Causes,All causes,Kentucky,46564,924.7
377,All Causes,All causes,Louisiana,43716,874.2
395,All Causes,All causes,Maine,14479,783.5
413,All Causes,All causes,Maryland,47247,705.7
431,All Causes,All causes,Massachusetts,57806,684.8
449,All Causes,All causes,Michigan,95140,784.4
467,All Causes,All causes,Minnesota,42800,653.8
485,All Causes,All causes,Mississippi,31783,963.7
503,All Causes,All causes,Missouri,59871,816.9
521,All Causes,All causes,Montana,9942,762.7
539,All Causes,All causes,Nebraska,16740,739.2
557,All Causes,All causes,Nevada,22879,757.2
575,All Causes,All causes,New Hampshire,11984,720.6
593,All Causes,All causes,New Jersey,72271,666
611,All Causes,All causes,New Mexico,17685,741.5
629,All Causes,All causes,New York,153628,644
647,All Causes,All causes,North Carolina,89133,789.9
665,All Causes,All causes,North Dakota,6223,696.8
683,All Causes,All causes,Ohio,118188,828.4
701,All Causes,All causes,Oklahoma,39422,904.3
719,All Causes,All causes,Oregon,35705,722.3
737,All Causes,All causes,Pennsylvania,132598,768.3
755,All Causes,All causes,Rhode Island,10163,721.9
773,All Causes,All causes,South Carolina,47198,840
791,All Causes,All causes,South Dakota,7731,715.4
809,All Causes,All causes,Tennessee,66570,886.4
827,All Causes,All causes,Texas,189654,745
845,All Causes,All causes,United States,2712630,733.1
863,All Causes,All causes,Utah,17334,712.1
881,All Causes,All causes,Vermont,5919,714.7
899,All Causes,All causes,Virginia,65577,721.6
917,All Causes,All causes,Washington,54595,687.4
935,All Causes,All causes,West Virginia,22752,943.4
953,All Causes,All causes,Wisconsin,51264,715.9
971,All Causes,All causes,Wyoming,4778,748.3
989,Alzheimer's disease (G30),Alzheimer's disease,Alabama,2282,41.8
1007,Alzheimer's disease (G30),Alzheimer's disease,Alaska,68,16.7
1025,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2943,35.8
1043,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,1457,41.5
1061,Alzheimer's disease (G30),Alzheimer's disease,California,15065,35.7
1079,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1612,31.3
1097,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,966,19
1115,Alzheimer's disease (G30),Alzheimer's disease,Delaware,264,22.6
1133,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,129,19.2
1151,Alzheimer's disease (G30),Alzheimer's disease,Florida,7031,21.8
1169,Alzheimer's disease (G30),Alzheimer's disease,Georgia,3714,42.4
1187,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,422,19.5
1205,Alzheimer's disease (G30),Alzheimer's disease,Idaho,552,31.6
1223,Alzheimer's disease (G30),Alzheimer's disease,Illinois,3686,24.4
1241,Alzheimer's disease (G30),Alzheimer's disease,Indiana,2513,33.1
1259,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1339,29.9
1277,Alzheimer's disease (G30),Alzheimer's disease,Kansas,865,23.5
1295,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1694,34.9
1313,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,2018,42.5
1331,Alzheimer's disease (G30),Alzheimer's disease,Maine,544,28.4
1349,Alzheimer's disease (G30),Alzheimer's disease,Maryland,1095,16.4
1367,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1815,20.2
1385,Alzheimer's disease (G30),Alzheimer's disease,Michigan,3771,30.1
1403,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,1789,26
1421,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,1402,44.1
1439,Alzheimer's disease (G30),Alzheimer's disease,Missouri,2173,28.7
1457,Alzheimer's disease (G30),Alzheimer's disease,Montana,277,20.7
1475,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,598,24.8
1493,Alzheimer's disease (G30),Alzheimer's disease,Nevada,874,32.9
1511,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,432,25.5
1529,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,2260,19.8
1547,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,483,19.9
1565,Alzheimer's disease (G30),Alzheimer's disease,New York,3174,12.6
1583,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,3803,34.8
1601,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,376,36.7
1619,Alzheimer's disease (G30),Alzheimer's disease,Ohio,4643,31.1
1637,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1498,34.7
1655,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1652,33
1673,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,4012,21
1691,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,453,28.8
1709,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,2453,46.2
1727,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,421,34.8
1745,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,3122,43.4
1763,Alzheimer's disease (G30),Alzheimer's disease,Texas,8903,38.2
1781,Alzheimer's disease (G30),Alzheimer's disease,United States,110561,29.4
1799,Alzheimer's disease (G30),Alzheimer's disease,Utah,906,40.7
1817,Alzheimer's disease (G30),Alzheimer's disease,Vermont,298,35.1
1835,Alzheimer's disease (G30),Alzheimer's disease,Virginia,2248,25.6
1853,Alzheimer's disease (G30),Alzheimer's disease,Washington,3490,44.4
1871,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,738,30
1889,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,2087,27.5
1907,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,151,24.2
1925,Malignant neoplasms (C00-C97),Cancer,Alabama,10354,175.6
1943,Malignant neoplasms (C00-C97),Cancer,Alaska,978,159.8
1961,Malignant neoplasms (C00-C97),Cancer,Arizona,11776,141.3
1979,Malignant neoplasms (C00-C97),Cancer,Arkansas,6727,185.4
1997,Malignant neoplasms (C00-C97),Cancer,California,59629,142.8
2015,Malignant neoplasms (C00-C97),Cancer,Colorado,7604,134.4
2033,Malignant neoplasms (C00-C97),Cancer,Connecticut,6666,146.2
2051,Malignant neoplasms (C00-C97),Cancer,Delaware,2010,165.6
2069,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1072,167.5
2087,Malignant neoplasms (C00-C97),Cancer,Florida,44027,150.6
2105,Malignant neoplasms (C00-C97),Cancer,Georgia,16945,163
2123,Malignant neoplasms (C00-C97),Cancer,Hawaii,2462,135.3
2141,Malignant neoplasms (C00-C97),Cancer,Idaho,2849,153.6
2159,Malignant neoplasms (C00-C97),Cancer,Illinois,24713,167.6
2177,Malignant neoplasms (C00-C97),Cancer,Indiana,13511,176.3
2195,Malignant neoplasms (C00-C97),Cancer,Iowa,6513,164.1
2213,Malignant neoplasms (C00-C97),Cancer,Kansas,5604,164.6
2231,Malignant neoplasms (C00-C97),Cancer,Kentucky,10312,195.9
2249,Malignant neoplasms (C00-C97),Cancer,Louisiana,9397,180.2
2267,Malignant neoplasms (C00-C97),Cancer,Maine,3398,178
2285,Malignant neoplasms (C00-C97),Cancer,Maryland,10568,155
2303,Malignant neoplasms (C00-C97),Cancer,Massachusetts,12750,152.9
2321,Malignant neoplasms (C00-C97),Cancer,Michigan,20732,168
2339,Malignant neoplasms (C00-C97),Cancer,Minnesota,9925,153
2357,Malignant neoplasms (C00-C97),Cancer,Mississippi,6485,188.4
2375,Malignant neoplasms (C00-C97),Cancer,Missouri,12965,173.4
2393,Malignant neoplasms (C00-C97),Cancer,Montana,2130,156.9
2411,Malignant neoplasms (C00-C97),Cancer,Nebraska,3514,157.8
2429,Malignant neoplasms (C00-C97),Cancer,Nevada,5015,157.2
2447,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2773,161.3
2465,Malignant neoplasms (C00-C97),Cancer,New Jersey,16270,150.8
2483,Malignant neoplasms (C00-C97),Cancer,New Mexico,3591,143.3
2501,Malignant neoplasms (C00-C97),Cancer,New York,35089,148.4
2519,Malignant neoplasms (C00-C97),Cancer,North Carolina,19322,164.7
2537,Malignant neoplasms (C00-C97),Cancer,North Dakota,1320,152.9
2555,Malignant neoplasms (C00-C97),Cancer,Ohio,25396,175.1
2573,Malignant neoplasms (C00-C97),Cancer,Oklahoma,8280,184.3
2591,Malignant neoplasms (C00-C97),Cancer,Oregon,8093,160.2
2609,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,28697,167.2
2627,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2226,163.1
2645,Malignant neoplasms (C00-C97),Cancer,South Carolina,9950,166.6
2663,Malignant neoplasms (C00-C97),Cancer,South Dakota,1640,154
2681,Malignant neoplasms (C00-C97),Cancer,Tennessee,14214,180.5
2699,Malignant neoplasms (C00-C97),Cancer,Texas,39121,149.2
2717,Malignant neoplasms (C00-C97),Cancer,United States,595930,158.5
2735,Malignant neoplasms (C00-C97),Cancer,Utah,3091,125.2
2753,Malignant neoplasms (C00-C97),Cancer,Vermont,1399,165.3
2771,Malignant neoplasms (C00-C97),Cancer,Virginia,14947,159.5
2789,Malignant neoplasms (C00-C97),Cancer,Washington,12687,156.4
2807,Malignant neoplasms (C00-C97),Cancer,West Virginia,4839,190.4
2825,Malignant neoplasms (C00-C97),Cancer,Wisconsin,11423,159.3
2843,Malignant neoplasms (C00-C97),Cancer,Wyoming,931,139.4
2861,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,3279,56.4
2879,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,204,37.8
2897,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,3681,43.8
2915,Chronic lower respiratory diseases (J40-J47),CLRD,Arkansas,2270,62.4
2933,Chronic lower respiratory diseases (J40-J47),CLRD,California,13621,33.1
2951,Chronic lower respiratory diseases (J40-J47),CLRD,Colorado,2577,47.8
2969,Chronic lower respiratory diseases (J40-J47),CLRD,Connecticut,1369,29.7
2987,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,510,42.5
3005,Chronic lower respiratory diseases (J40-J47),CLRD,District of Columbia,147,23.4
3023,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,11705,38.4
3041,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,4607,46.7
3059,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,332,17.3
3077,Chronic lower respiratory diseases (J40-J47),CLRD,Idaho,843,46.3
3095,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5544,38.2
3113,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,4212,55.4
3131,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,2011,49.1
3149,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1704,49.7
3167,Chronic lower respiratory diseases (J40-J47),CLRD,Kentucky,3331,64.3
3185,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,2178,43.2
3203,Chronic lower respiratory diseases (J40-J47),CLRD,Maine,1025,53.6
3221,Chronic lower respiratory diseases (J40-J47),CLRD,Maryland,2040,30.7
3239,Chronic lower respiratory diseases (J40-J47),CLRD,Massachusetts,2784,33
3257,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,5848,47.5
3275,Chronic lower respiratory diseases (J40-J47),CLRD,Minnesota,2351,36.4
3293,Chronic lower respiratory diseases (J40-J47),CLRD,Mississippi,1924,57.1
3311,Chronic lower respiratory diseases (J40-J47),CLRD,Missouri,3935,52.8
3329,Chronic lower respiratory diseases (J40-J47),CLRD,Montana,679,50.2
3347,Chronic lower respiratory diseases (J40-J47),CLRD,Nebraska,1174,52.2
3365,Chronic lower respiratory diseases (J40-J47),CLRD,Nevada,1617,54.1
3383,Chronic lower respiratory diseases (J40-J47),CLRD,New Hampshire,705,41.9
3401,Chronic lower respiratory diseases (J40-J47),CLRD,New Jersey,3202,29.6
3419,Chronic lower respiratory diseases (J40-J47),CLRD,New Mexico,1109,44.7
3437,Chronic lower respiratory diseases (J40-J47),CLRD,New York,7109,29.9
3455,Chronic lower respiratory diseases (J40-J47),CLRD,North Carolina,5221,45.5
3473,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,351,40
3491,Chronic lower respiratory diseases (J40-J47),CLRD,Ohio,7211,49.6
3509,Chronic lower respiratory diseases (J40-J47),CLRD,Oklahoma,2924,65.8
3527,Chronic lower respiratory diseases (J40-J47),CLRD,Oregon,2119,42.4
3545,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6664,38.1
3563,Chronic lower respiratory diseases (J40-J47),CLRD,Rhode Island,510,36.9
3581,Chronic lower respiratory diseases (J40-J47),CLRD,South Carolina,2908,49.9
3599,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,502,45.3
3617,Chronic lower respiratory diseases (J40-J47),CLRD,Tennessee,4239,54.9
3635,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,10231,41.3
3653,Chronic lower respiratory diseases (J40-J47),CLRD,United States,155041,41.6
3671,Chronic lower respiratory diseases (J40-J47),CLRD,Utah,811,33.9
3689,Chronic lower respiratory diseases (J40-J47),CLRD,Vermont,357,42.3
3707,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,3370,37.1
3725,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,3154,39.7
3743,Chronic lower respiratory diseases (J40-J47),CLRD,West Virginia,1628,64.6
3761,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2846,39.3
3779,Chronic lower respiratory diseases (J40-J47),CLRD,Wyoming,368,57.1
3797,Diabetes mellitus (E10-E14),Diabetes,Alabama,1255,21.7
3815,Diabetes mellitus (E10-E14),Diabetes,Alaska,142,23.9
3833,Diabetes mellitus (E10-E14),Diabetes,Arizona,2081,25.3
3851,Diabetes mellitus (E10-E14),Diabetes,Arkansas,886,24.7
3869,Diabetes mellitus (E10-E14),Diabetes,California,8845,21.2
3887,Diabetes mellitus (E10-E14),Diabetes,Colorado,887,15.9
3905,Diabetes mellitus (E10-E14),Diabetes,Connecticut,653,13.9
3923,Diabetes mellitus (E10-E14),Diabetes,Delaware,215,18.1
3941,Diabetes mellitus (E10-E14),Diabetes,District of Columbia,162,25.7
3959,Diabetes mellitus (E10-E14),Diabetes,Florida,5403,18.6
3977,Diabetes mellitus (E10-E14),Diabetes,Georgia,2210,21.4
3995,Diabetes mellitus (E10-E14),Diabetes,Hawaii,263,14.5
4013,Diabetes mellitus (E10-E14),Diabetes,Idaho,403,22.1
4031,Diabetes mellitus (E10-E14),Diabetes,Illinois,2817,19.2
