10281,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,361,60.9
55,All Causes,All causes,Alabama,50215,909.1
73,All Causes,All causes,Alaska,4128,736.8
90,All Causes,All causes,Arizona,51538,661.7
108,All Causes,All causes,Arkansas,30467,883.7
126,All Causes,All causes,California,245929,605.7
144,All Causes,All causes,Colorado,35237,664.4
162,All Causes,All causes,Connecticut,29860,646.5
180,All Causes,All causes,Delaware,8260,734
198,All Causes,All causes,District of Columbia,4723,743.8
216,All Causes,All causes,Florida,185956,662
234,All Causes,All causes,Georgia,76887,801.9
252,All Causes,All causes,Hawaii,10767,588.7
270,All Causes,All causes,Idaho,12613,723.8
288,All Causes,All causes,Illinois,105293,726
306,All Causes,All causes,Indiana,60940,822.3
324,All Causes,All causes,Iowa,29190,722.9
342,All Causes,All causes,Kansas,25793,759.3
360,All Causes,All causes,Kentucky,44838,906.3
378,All Causes,All causes,Louisiana,43869,894.2
396,All Causes,All causes,Maine,13510,739
414,All Causes,All causes,Maryland,45867,699.5
432,All Causes,All causes,Massachusetts,55200,663
450,All Causes,All causes,Michigan,93914,783.7
468,All Causes,All causes,Minnesota,41445,647
486,All Causes,All causes,Mississippi,30557,937.6
504,All Causes,All causes,Missouri,58320,807
522,All Causes,All causes,Montana,9381,732.1
540,All Causes,All causes,Nebraska,15978,718.2
558,All Causes,All causes,Nevada,21793,749.2
576,All Causes,All causes,New Hampshire,11516,706.2
594,All Causes,All causes,New Jersey,71316,665.7
612,All Causes,All causes,New Mexico,17579,749.6
630,All Causes,All causes,New York,149944,636.5
648,All Causes,All causes,North Carolina,85367,775.9
666,All Causes,All causes,North Dakota,6184,692.7
684,All Causes,All causes,Ohio,114509,810
702,All Causes,All causes,Oklahoma,38464,897.5
720,All Causes,All causes,Oregon,34151,706.7
738,All Causes,All causes,Pennsylvania,128434,750.2
756,All Causes,All causes,Rhode Island,9770,700.9
774,All Causes,All causes,South Carolina,45454,829.1
792,All Causes,All causes,South Dakota,7507,710.4
810,All Causes,All causes,Tennessee,64661,880
828,All Causes,All causes,Texas,183912,745.3
846,All Causes,All causes,United States,2626418,724.6
864,All Causes,All causes,Utah,16719,709.6
882,All Causes,All causes,Vermont,5623,694.8
900,All Causes,All causes,Virginia,63598,717.5
918,All Causes,All causes,Washington,52099,672.9
936,All Causes,All causes,West Virginia,22186,929.1
954,All Causes,All causes,Wisconsin,50291,712.1
972,All Causes,All causes,Wyoming,4666,742.4
990,Alzheimer's disease (G30),Alzheimer's disease,Alabama,1885,35.3
1008,Alzheimer's disease (G30),Alzheimer's disease,Alaska,68,17.2
1026,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2485,31.6
1044,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,1193,34.8
1062,Alzheimer's disease (G30),Alzheimer's disease,California,12644,30.9
1080,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1364,27.4
1098,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,923,18.4
1116,Alzheimer's disease (G30),Alzheimer's disease,Delaware,188,16.6
1134,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,119,18.3
1152,Alzheimer's disease (G30),Alzheimer's disease,Florida,5874,18.8
1170,Alzheimer's disease (G30),Alzheimer's disease,Georgia,2670,31.7
1188,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,326,15
1206,Alzheimer's disease (G30),Alzheimer's disease,Idaho,376,22.4
1224,Alzheimer's disease (G30),Alzheimer's disease,Illinois,3266,21.9
1242,Alzheimer's disease (G30),Alzheimer's disease,Indiana,2204,29.4
1260,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1313,29.6
1278,Alzheimer's disease (G30),Alzheimer's disease,Kansas,790,21.9
1296,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1523,32.1
1314,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,1670,36
1332,Alzheimer's disease (G30),Alzheimer's disease,Maine,434,22.7
1350,Alzheimer's disease (G30),Alzheimer's disease,Maryland,934,14.5
1368,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1688,19
1386,Alzheimer's disease (G30),Alzheimer's disease,Michigan,3349,27
1404,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,1628,24.2
1422,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,1098,35.2
1440,Alzheimer's disease (G30),Alzheimer's disease,Missouri,2053,27.4
1458,Alzheimer's disease (G30),Alzheimer's disease,Montana,253,19.2
1476,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,515,21.9
1494,Alzheimer's disease (G30),Alzheimer's disease,Nevada,606,23.8
1512,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,396,24
1530,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1962,17.4
1548,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,442,18.9
1566,Alzheimer's disease (G30),Alzheimer's disease,New York,2639,10.7
1584,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,3246,30.5
1602,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,364,36.2
1620,Alzheimer's disease (G30),Alzheimer's disease,Ohio,4083,27.7
1638,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1227,28.9
1656,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1411,28.5
1674,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,3486,18.3
1692,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,403,25.9
1710,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,1938,37.4
1728,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,434,36.2
1746,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2672,38.1
1764,Alzheimer's disease (G30),Alzheimer's disease,Texas,6772,30
1782,Alzheimer's disease (G30),Alzheimer's disease,United States,93541,25.4
1800,Alzheimer's disease (G30),Alzheimer's disease,Utah,584,26.7
1818,Alzheimer's disease (G30),Alzheimer's disease,Vermont,266,31.9
1836,Alzheimer's disease (G30),Alzheimer's disease,Virginia,1775,20.8
1854,Alzheimer's disease (G30),Alzheimer's disease,Washington,3344,43.6
1872,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,620,25.5
1890,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,1876,25
1908,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,162,26.6
1926,Malignant neoplasms (C00-C97),Cancer,Alabama,10286,177.6
1944,Malignant neoplasms (C00-C97),Cancer,Alaska,972,164.2
1962,Malignant neoplasms (C00-C97),Cancer,Arizona,11455,142.7
1980,Malignant neoplasms (C00-C97),Cancer,Arkansas,6546,183.1
1998,Malignant neoplasms (C00-C97),Cancer,California,58412,144.1
2016,Malignant neoplasms (C00-C97),Cancer,Colorado,7405,136
2034,Malignant neoplasms (C00-C97),Cancer,Connecticut,6621,146.7
2052,Malignant neoplasms (C00-C97),Cancer,Delaware,1972,167.3
2070,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1116,178.6
2088,Malignant neoplasms (C00-C97),Cancer,Florida,43212,152.9
2106,Malignant neoplasms (C00-C97),Cancer,Georgia,16684,165.5
2124,Malignant neoplasms (C00-C97),Cancer,Hawaii,2493,140
2142,Malignant neoplasms (C00-C97),Cancer,Idaho,2795,155.4
2160,Malignant neoplasms (C00-C97),Cancer,Illinois,24501,168.9
2178,Malignant neoplasms (C00-C97),Cancer,Indiana,13519,179.7
2196,Malignant neoplasms (C00-C97),Cancer,Iowa,6504,166
2214,Malignant neoplasms (C00-C97),Cancer,Kansas,5587,166.8
2232,Malignant neoplasms (C00-C97),Cancer,Kentucky,10263,198.8
2250,Malignant neoplasms (C00-C97),Cancer,Louisiana,9455,186.1
2268,Malignant neoplasms (C00-C97),Cancer,Maine,3209,170.3
2286,Malignant neoplasms (C00-C97),Cancer,Maryland,10759,161.7
2304,Malignant neoplasms (C00-C97),Cancer,Massachusetts,12787,155.5
2322,Malignant neoplasms (C00-C97),Cancer,Michigan,21169,174.1
2340,Malignant neoplasms (C00-C97),Cancer,Minnesota,9649,152.6
2358,Malignant neoplasms (C00-C97),Cancer,Mississippi,6534,193.1
2376,Malignant neoplasms (C00-C97),Cancer,Missouri,13067,177.7
2394,Malignant neoplasms (C00-C97),Cancer,Montana,2066,156.3
2412,Malignant neoplasms (C00-C97),Cancer,Nebraska,3459,159.6
