10295,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,245,50.8
69,All Causes,All causes,Alabama,45062,1004.8
86,All Causes,All causes,Alaska,2914,869.1
104,All Causes,All causes,Arizona,40500,810.4
122,All Causes,All causes,Arkansas,28217,977.1
140,All Causes,All causes,California,229551,787.9
158,All Causes,All causes,Colorado,27288,792.1
176,All Causes,All causes,Connecticut,30129,793
194,All Causes,All causes,Delaware,6875,897.1
212,All Causes,All causes,District of Columbia,6001,1061.2
230,All Causes,All causes,Florida,164395,807.8
248,All Causes,All causes,Georgia,63870,981
266,All Causes,All causes,Hawaii,8290,675.9
284,All Causes,All causes,Idaho,9563,809.4
302,All Causes,All causes,Illinois,106634,883
320,All Causes,All causes,Indiana,55469,929.6
338,All Causes,All causes,Iowa,28060,794.7
356,All Causes,All causes,Kansas,24717,850.5
374,All Causes,All causes,Kentucky,39504,998.6
392,All Causes,All causes,Louisiana,41138,1006.3
410,All Causes,All causes,Maine,12354,859.4
428,All Causes,All causes,Maryland,43753,908.9
446,All Causes,All causes,Massachusetts,56681,817.9
464,All Causes,All causes,Michigan,86953,904.2
482,All Causes,All causes,Minnesota,37690,760.7
500,All Causes,All causes,Mississippi,28654,1051.9
518,All Causes,All causes,Missouri,54865,920.8
536,All Causes,All causes,Montana,8096,843.3
554,All Causes,All causes,Nebraska,14992,794.6
572,All Causes,All causes,Nevada,15261,918.7
590,All Causes,All causes,New Hampshire,9697,815.5
608,All Causes,All causes,New Jersey,74800,852.6
626,All Causes,All causes,New Mexico,13425,808.6
644,All Causes,All causes,New York,158203,813.6
662,All Causes,All causes,North Carolina,71935,952.7
680,All Causes,All causes,North Dakota,5856,761.8
698,All Causes,All causes,Ohio,108125,923.5
716,All Causes,All causes,Oklahoma,35079,983
734,All Causes,All causes,Oregon,29552,830.9
752,All Causes,All causes,Pennsylvania,130813,891.9
770,All Causes,All causes,Rhode Island,10027,823.7
788,All Causes,All causes,South Carolina,36948,980.2
806,All Causes,All causes,South Dakota,7021,805.7
824,All Causes,All causes,Tennessee,55246,996.9
842,All Causes,All causes,Texas,149939,891
860,All Causes,All causes,United States,2403351,869
